UID          PID    PPID     LWP  C NLWP STIME TTY          TIME CMD
root           1       0       1  0   35 20:57 ?        00:00:02 /bin/ollama serve
root           1       0       8  0   35 20:57 ?        00:00:06 /bin/ollama serve
root           1       0       9  0   35 20:57 ?        00:00:04 /bin/ollama serve
root           1       0      10  0   35 20:57 ?        00:00:03 /bin/ollama serve
root           1       0      11  0   35 20:57 ?        00:00:03 /bin/ollama serve
root           1       0      12  0   35 20:57 ?        00:00:00 /bin/ollama serve
root           1       0      13  0   35 20:57 ?        00:00:00 /bin/ollama serve
root           1       0      14  0   35 20:57 ?        00:00:03 /bin/ollama serve
root           1       0      15  0   35 20:57 ?        00:00:03 /bin/ollama serve
root           1       0      16  0   35 20:57 ?        00:00:00 /bin/ollama serve
root           1       0      17  0   35 20:57 ?        00:00:03 /bin/ollama serve
root           1       0      18  0   35 20:57 ?        00:00:04 /bin/ollama serve
root           1       0      34  0   35 20:57 ?        00:00:03 /bin/ollama serve
root           1       0      35  0   35 20:57 ?        00:00:03 /bin/ollama serve
root           1       0      47  0   35 20:57 ?        00:00:02 /bin/ollama serve
root           1       0     102  0   35 21:01 ?        00:00:04 /bin/ollama serve
root           1       0     103  0   35 21:01 ?        00:00:03 /bin/ollama serve
root           1       0     104  0   35 21:01 ?        00:00:04 /bin/ollama serve
root           1       0     105  0   35 21:01 ?        00:00:03 /bin/ollama serve
root           1       0     106  0   35 21:01 ?        00:00:02 /bin/ollama serve
root           1       0     107  0   35 21:01 ?        00:00:05 /bin/ollama serve
root           1       0     108  0   35 21:01 ?        00:00:03 /bin/ollama serve
root           1       0     109  0   35 21:01 ?        00:00:12 /bin/ollama serve
root           1       0     110  0   35 21:01 ?        00:00:03 /bin/ollama serve
root           1       0     111  0   35 21:01 ?        00:00:01 /bin/ollama serve
root           1       0     112  0   35 21:01 ?        00:00:03 /bin/ollama serve
root           1       0     113  0   35 21:01 ?        00:00:03 /bin/ollama serve
root           1       0     114  0   35 21:01 ?        00:00:04 /bin/ollama serve
root           1       0     115  0   35 21:01 ?        00:00:03 /bin/ollama serve
root           1       0     116  0   35 21:01 ?        00:00:02 /bin/ollama serve
root           1       0     117  0   35 21:01 ?        00:00:03 /bin/ollama serve
root           1       0     118  0   35 21:01 ?        00:00:02 /bin/ollama serve
root           1       0     119  0   35 21:01 ?        00:00:04 /bin/ollama serve
root           1       0     120  0   35 21:01 ?        00:00:02 /bin/ollama serve
root           1       0     121  0   35 21:02 ?        00:00:02 /bin/ollama serve
root         251       0     251 75    1 21:26 ?        00:00:00 ps -eLf
