UID          PID    PPID     LWP  C NLWP STIME TTY          TIME CMD
root           1       0       1  0   36 20:57 ?        00:00:01 /bin/ollama serve
root           1       0      27  0   36 20:57 ?        00:00:07 /bin/ollama serve
root           1       0      28  0   36 20:57 ?        00:00:04 /bin/ollama serve
root           1       0      29  0   36 20:57 ?        00:00:04 /bin/ollama serve
root           1       0      30  0   36 20:57 ?        00:00:02 /bin/ollama serve
root           1       0      31  0   36 20:57 ?        00:00:00 /bin/ollama serve
root           1       0      32  0   36 20:57 ?        00:00:03 /bin/ollama serve
root           1       0      33  0   36 20:57 ?        00:00:00 /bin/ollama serve
root           1       0      34  0   36 20:57 ?        00:00:04 /bin/ollama serve
root           1       0      35  0   36 20:57 ?        00:00:04 /bin/ollama serve
root           1       0      36  0   36 20:57 ?        00:00:02 /bin/ollama serve
root           1       0      37  0   36 20:57 ?        00:00:03 /bin/ollama serve
root           1       0      38  0   36 20:57 ?        00:00:05 /bin/ollama serve
root           1       0      41  0   36 20:57 ?        00:00:10 /bin/ollama serve
root           1       0      45  0   36 20:57 ?        00:00:04 /bin/ollama serve
root           1       0      46  0   36 20:57 ?        00:00:03 /bin/ollama serve
root           1       0     228  0   36 20:57 ?        00:00:01 /bin/ollama serve
root           1       0     229  0   36 20:57 ?        00:00:04 /bin/ollama serve
root           1       0     230  0   36 20:57 ?        00:00:04 /bin/ollama serve
root           1       0     231  0   36 20:57 ?        00:00:03 /bin/ollama serve
root           1       0     232  0   36 20:57 ?        00:00:02 /bin/ollama serve
root           1       0     233  0   36 20:57 ?        00:00:01 /bin/ollama serve
root           1       0     234  0   36 20:57 ?        00:00:00 /bin/ollama serve
root           1       0     235  0   36 20:57 ?        00:00:03 /bin/ollama serve
root           1       0     236  0   36 20:57 ?        00:00:04 /bin/ollama serve
root           1       0     237  0   36 20:57 ?        00:00:04 /bin/ollama serve
root           1       0     238  0   36 20:57 ?        00:00:02 /bin/ollama serve
root           1       0     239  0   36 20:57 ?        00:00:05 /bin/ollama serve
root           1       0     240  0   36 20:57 ?        00:00:05 /bin/ollama serve
root           1       0     241  0   36 20:57 ?        00:00:03 /bin/ollama serve
root           1       0     242  0   36 20:57 ?        00:00:03 /bin/ollama serve
root           1       0     243  0   36 20:57 ?        00:00:03 /bin/ollama serve
root           1       0     244  0   36 20:57 ?        00:00:06 /bin/ollama serve
root           1       0     245  0   36 20:58 ?        00:00:03 /bin/ollama serve
root           1       0     246  0   36 20:58 ?        00:00:03 /bin/ollama serve
root           1       0     247  0   36 20:58 ?        00:00:01 /bin/ollama serve
root         549       0     549 50    1 21:26 ?        00:00:00 ps -eLf
