% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 74.16    0.232180        1967       118         6 futex
 10.11    0.031645         169       187           nanosleep
  7.86    0.024614         219       112           epoll_pwait
  3.09    0.009674          93       103        48 read
  2.89    0.009058         164        55           write
  0.74    0.002320         210        11           sched_yield
  0.73    0.002284        1142         2           tgkill
  0.18    0.000571         285         2           getpid
  0.15    0.000469         234         2           rt_sigreturn
  0.09    0.000275         275         1         1 restart_syscall
------ ----------- ----------- --------- --------- ----------------
100.00    0.313090         527       593        55 total
